order_no,order_date_time,user_id,product_id,amount,discount_amount,created_by
1001,01-01-2026,1011,1223,592.37,0,1002
1002,01-01-2026,1012,1313,1100.85,0,1002
1003,01-01-2026,1013,1313,1100.85,0,1002
1004,01-01-2026,1014,1202,2541.53,0,1002
1005,01-01-2026,1015,1239,846.61,0,1002
1006,01-02-2026,1016,1204,422.88,0,1002
1007,01-02-2026,1018,1256,931.36,0,1006
1008,01-02-2026,1019,1124,253.39,0,1009
1009,01-02-2026,1020,1113,253.39,0,1002
1010,01-02-2026,1021,1391,761.86,0,1009
1011,01-03-2026,1022,1257,931.36,0,1002
1012,01-04-2026,1023,1391,761.86,0,1002
1013,01-04-2026,1024,1391,761.86,0,1005
1014,01-04-2026,1025,1223,592.37,0,1002
1015,01-04-2026,1026,1223,592.37,0,1009
1016,01-04-2026,1027,1223,592.37,0,1005
1017,01-05-2026,1029,1391,761.86,0,1005
1018,01-05-2026,1030,1391,761.86,0,1005
1019,01-05-2026,1031,1121,253.39,0,1002
1020,01-05-2026,1031,1391,761.86,0,1002
1021,01-05-2026,1032,1391,761.86,0,1002
1022,01-05-2026,1033,1254,846.61,0,1028
1023,01-05-2026,1034,1391,761.86,0,1005
1024,01-06-2026,1035,1391,761.86,0,1005
1025,01-06-2026,1036,1391,761.86,0,1028
1026,01-06-2026,1037,1391,761.86,0,1005
1027,01-06-2026,1038,1391,761.86,0,1028
1028,01-06-2026,1039,1134,338.14,0,1006
1029,01-07-2026,1040,1391,761.86,0,1009
1030,01-07-2026,1041,1121,253.39,0,1005
1031,01-07-2026,1042,1236,761.86,0,1028
1032,01-07-2026,1043,1236,761.86,0,1005
1033,01-07-2026,1044,1236,761.86,0,1009
1034,01-07-2026,1045,1135,338.14,0,1006
1035,01-07-2026,1046,1135,338.14,0,1002
1036,01-07-2026,1047,1121,253.39,0,1002
1037,01-08-2026,1048,1124,253.39,0,1002
1038,01-08-2026,1049,1391,761.86,0,1002
1039,01-08-2026,1050,1136,422.88,0,1002
1040,01-08-2026,1051,1343,2541.53,0,1006
1041,01-08-2026,1052,1344,5507.63,0,1006
1042,01-08-2026,1053,1183,592.37,29.6185,1009
1043,01-08-2026,1054,1134,338.14,0,1006
1044,01-08-2026,1055,1134,338.14,0,1009
1045,01-08-2026,1056,1134,338.14,0,1009
1046,01-08-2026,1057,1126,338.14,0,1009
1047,01-09-2026,1058,1391,761.86,0,1003
1048,01-09-2026,1059,1391,761.86,0,1002
1049,01-09-2026,1060,1123,253.39,0,1003
1050,01-09-2026,1061,1162,422.88,0,1005
1051,01-09-2026,1062,1183,592.37,0,1005
1052,01-09-2026,1063,1120,253.39,0,1005
1053,01-09-2026,1064,1225,592.37,29.6185,1006
1054,01-10-2026,1066,1105,253.39,0,1003
1055,01-10-2026,1067,1167,422.88,0,1002
1056,01-10-2026,1069,1391,761.86,0,1005
1057,01-10-2026,1070,1110,253.39,0,1005
1058,01-10-2026,1071,1129,338.14,0,1009
1059,01-10-2026,1073,1088,2287.29,228.729,1003
